prime,index,p2p
6301,819,685
6311,820,687
6317,821,686
6323,822,687
6329,823,688
6337,824,689
6343,825,688
6353,826,690
6359,827,690
6361,828,690
6367,829,689
6373,830,690
6379,831,690
6389,832,690
6397,833,691
6421,834,696
6427,835,696
6449,836,697
6451,837,697
6469,838,701
6473,839,701
6481,840,702
6491,841,704
6521,842,710
6529,843,711
6547,844,712
6551,845,712
6553,846,712
6563,847,713
6569,848,713
6571,849,712
6577,850,713
6581,851,713
6599,852,717
6607,853,716
6619,854,718
6637,855,721
6653,856,722
6659,857,723
6661,858,722
6673,859,725
6679,860,724
6689,861,724
6691,862,724
6701,863,725
6703,864,724
6709,865,725
6719,866,725
6733,867,728
6737,868,728
6761,869,731
6763,870,731
6779,871,732
6781,872,731
6791,873,732
6793,874,731
6803,875,732
6823,876,735
6827,877,735
6829,878,734
6833,879,733
6841,880,735
6857,881,740
6863,882,741
6869,883,741
6871,884,740
6883,885,743
6899,886,744
6907,887,745
6911,888,744
6917,889,745
6947,890,750
6949,891,749
6959,892,752
6961,893,752
6967,894,753
6971,895,752
6977,896,751
6983,897,751
6991,898,751
6997,899,750
7001,900,751
7013,901,752
7019,902,753
7027,903,753
7039,904,754
7043,905,755
7057,906,756
7069,907,755
7079,908,757
7103,909,760
7109,910,760
7121,911,760
7127,912,762
7129,913,761
7151,914,762
7159,915,762
7177,916,766
7187,917,766
7193,918,765
7207,919,769
7211,920,769
7213,921,769
7219,922,770
7229,923,771
7237,924,771
7243,925,771
7247,926,771
7253,927,771
7283,928,779
7297,929,780
7307,930,779
7309,931,778
7321,932,782
7331,933,783
7333,934,782
7349,935,783
7351,936,783
7369,937,787
7393,938,794
7411,939,796
7417,940,797
7433,941,798
7451,942,803
7457,943,802
7459,944,801
7477,945,805
7481,946,805
7487,947,805
7489,948,804
7499,949,804
7507,950,804
7517,951,805
7523,952,804
7529,953,804
7537,954,805
7541,955,805
7547,956,806
7549,957,805
7559,958,806
7561,959,806
7573,960,808
7577,961,808
7583,962,808
7589,963,808
7591,964,807
7603,965,809
7607,966,808
7621,967,811
7639,968,815
7643,969,814
7649,970,815
7669,971,820
7673,972,819
7681,973,821
7687,974,821
7691,975,821
7699,976,822
7703,977,822
