len,count,missing,max
493 , 3518 , 13 , 7066
494 , 3523 , 14 , 7078
495 , 3529 , 10 , 7082
496 , 3535 , 10 , 7094
497 , 3544 , 11 , 7114
498 , 3549 , 8 , 7118
499 , 3554 , 15 , 7142
500 , 3562 , 17 , 7162
501 , 3566 , 15 , 7166
502 , 3574 , 17 , 7186
503 , 3582 , 23 , 7214
504 , 3591 , 20 , 7226
505 , 3599 , 16 , 7234
506 , 3608 , 13 , 7246
507 , 3615 , 14 , 7262
508 , 3621 , 14 , 7274
509 , 3625 , 16 , 7286
510 , 3635 , 22 , 7318
511 , 3645 , 24 , 7342
512 , 3652 , 19 , 7346
513 , 3661 , 14 , 7354
514 , 3669 , 20 , 7382
515 , 3675 , 20 , 7394
516 , 3683 , 16 , 7402
517 , 3692 , 15 , 7418
518 , 3699 , 18 , 7438
519 , 3705 , 20 , 7454
520 , 3712 , 19 , 7466
521 , 3718 , 19 , 7478
522 , 3728 , 31 , 7522
523 , 3738 , 27 , 7534
524 , 3744 , 23 , 7538
525 , 3755 , 22 , 7558
526 , 3765 , 26 , 7586
527 , 3774 , 21 , 7594
528 , 3781 , 20 , 7606
529 , 3787 , 32 , 7642
530 , 3799 , 22 , 7646
531 , 3808 , 23 , 7666
532 , 3818 , 27 , 7694
533 , 3826 , 23 , 7702
534 , 3833 , 18 , 7706
535 , 3839 , 22 , 7726
536 , 3848 , 27 , 7754
537 , 3854 , 25 , 7762
538 , 3867 , 20 , 7778
539 , 3873 , 32 , 7814
540 , 3881 , 28 , 7822
541 , 3892 , 23 , 7834
542 , 3901 , 16 , 7838
543 , 3911 , 10 , 7846
544 , 3915 , 12 , 7858
545 , 3921 , 8 , 7862
546 , 3927 , 14 , 7886
547 , 3933 , 12 , 7894
548 , 3941 , 24 , 7934
549 , 3951 , 36 , 7978
550 , 3959 , 40 , 8002
551 , 3969 , 32 , 8006
552 , 3977 , 28 , 8014
553 , 3985 , 26 , 8026
554 , 3991 , 26 , 8038
555 , 4004 , 15 , 8042
556 , 4012 , 13 , 8054
557 , 4021 , 26 , 8098
558 , 4030 , 19 , 8102
559 , 4037 , 18 , 8114
560 , 4047 , 24 , 8146
561 , 4052 , 25 , 8158
562 , 4062 , 27 , 8182
563 , 4073 , 18 , 8186
564 , 4081 , 16 , 8198
565 , 4090 , 19 , 8222
566 , 4102 , 23 , 8254
567 , 4108 , 19 , 8258
568 , 4115 , 16 , 8266
569 , 4122 , 15 , 8278
570 , 4131 , 20 , 8306
571 , 4139 , 16 , 8314
572 , 4147 , 10 , 8318
573 , 4154 , 21 , 8354
574 , 4163 , 36 , 8402
575 , 4174 , 35 , 8422
576 , 4183 , 32 , 8434
577 , 4191 , 26 , 8438
578 , 4201 , 26 , 8458
579 , 4211 , 18 , 8462
580 , 4219 , 20 , 8482
581 , 4224 , 17 , 8486
582 , 4231 , 20 , 8506
583 , 4240 , 17 , 8518
584 , 4247 , 12 , 8522
585 , 4254 , 15 , 8542
586 , 4261 , 10 , 8546
587 , 4265 , 16 , 8566
588 , 4273 , 14 , 8578
589 , 4284 , 11 , 8594
590 , 4291 , 34 , 8654
591 , 4299 , 36 , 8674
592 , 4309 , 28 , 8678
593 , 4316 , 31 , 8698
594 , 4327 , 28 , 8714
595 , 4338 , 23 , 8726
596 , 4349 , 22 , 8746
597 , 4358 , 31 , 8782
598 , 4366 , 29 , 8794
599 , 4374 , 33 , 8818
600 , 4380 , 39 , 8842
601 , 4392 , 29 , 8846
602 , 4403 , 36 , 8882
603 , 4413 , 32 , 8894
604 , 4422 , 27 , 8902
605 , 4430 , 25 , 8914
606 , 4439 , 22 , 8926
607 , 4447 , 32 , 8962
608 , 4458 , 23 , 8966
609 , 4465 , 26 , 8986
610 , 4474 , 31 , 9014
611 , 4484 , 27 , 9026
612 , 4491 , 24 , 9034
613 , 4501 , 16 , 9038
614 , 4507 , 14 , 9046
615 , 4514 , 31 , 9094
616 , 4522 , 25 , 9098
617 , 4536 , 23 , 9122
618 , 4545 , 20 , 9134
619 , 4555 , 26 , 9166
620 , 4562 , 27 , 9182
621 , 4568 , 27 , 9194
622 , 4573 , 28 , 9206
623 , 4580 , 39 , 9242
624 , 4594 , 41 , 9274
625 , 4601 , 36 , 9278
626 , 4613 , 28 , 9286
627 , 4625 , 22 , 9298
628 , 4633 , 16 , 9302
629 , 4638 , 17 , 9314
630 , 4643 , 18 , 9326
631 , 4652 , 19 , 9346
632 , 4659 , 18 , 9358
633 , 4670 , 19 , 9382
634 , 4676 , 25 , 9406
635 , 4687 , 32 , 9442
636 , 4698 , 23 , 9446
637 , 4708 , 19 , 9458
638 , 4714 , 17 , 9466
639 , 4721 , 28 , 9502
640 , 4732 , 25 , 9518
641 , 4743 , 38 , 9566
642 , 4752 , 33 , 9574
643 , 4761 , 26 , 9578
644 , 4769 , 22 , 9586
645 , 4777 , 20 , 9598
646 , 4786 , 13 , 9602
647 , 4795 , 16 , 9626
648 , 4802 , 13 , 9634
649 , 4810 , 19 , 9662
650 , 4819 , 40 , 9722
651 , 4831 , 38 , 9742
652 , 4842 , 33 , 9754
653 , 4850 , 37 , 9778
654 , 4860 , 41 , 9806
655 , 4872 , 35 , 9818
656 , 4882 , 35 , 9838
657 , 4893 , 36 , 9862
658 , 4903 , 28 , 9866
659 , 4911 , 24 , 9874
660 , 4917 , 24 , 9886
661 , 4928 , 21 , 9902
662 , 4934 , 21 , 9914
663 , 4943 , 22 , 9934
664 , 4955 , 12 , 9938
665 , 4962 , 9 , 9946
666 , 4970 , 15 , 9974
667 , 4976 , 15 , 9986
668 , 4982 , 15 , 9998
669 , 4989 , 12 , 10006
670 , 4996 , 11 , 10018
671 , 5003 , 6 , 10022
672 , 5011 , 8 , 10042
673 , 5016 , 5 , 10046
674 , 5022 , 15 , 10078
675 , 5027 , 22 , 10102
676 , 5037 , 20 , 10118
677 , 5046 , 29 , 10154
678 , 5055 , 24 , 10162
679 , 5064 , 21 , 10174
680 , 5072 , 25 , 10198
681 , 5082 , 17 , 10202
682 , 5091 , 14 , 10214
683 , 5097 , 14 , 10226
684 , 5103 , 14 , 10238
685 , 5114 , 31 , 10294
686 , 5122 , 29 , 10306
687 , 5130 , 35 , 10334
688 , 5142 , 27 , 10342
689 , 5151 , 26 , 10358
690 , 5161 , 26 , 10378
691 , 5170 , 25 , 10394
692 , 5178 , 29 , 10418
693 , 5185 , 40 , 10454
694 , 5197 , 32 , 10462
695 , 5207 , 24 , 10466
696 , 5215 , 20 , 10474
697 , 5225 , 34 , 10522
698 , 5238 , 33 , 10546
699 , 5245 , 32 , 10558
700 , 5256 , 23 , 10562
701 , 5265 , 30 , 10594
702 , 5272 , 29 , 10606
703 , 5277 , 30 , 10618
704 , 5289 , 32 , 10646
705 , 5296 , 35 , 10666
706 , 5308 , 37 , 10694
707 , 5318 , 31 , 10702
708 , 5326 , 53 , 10762
709 , 5334 , 51 , 10774
710 , 5342 , 49 , 10786
711 , 5348 , 49 , 10798
712 , 5364 , 41 , 10814
713 , 5375 , 36 , 10826
714 , 5381 , 34 , 10834
715 , 5394 , 23 , 10838
716 , 5404 , 25 , 10862
717 , 5410 , 25 , 10874
718 , 5418 , 21 , 10882
719 , 5426 , 15 , 10886
720 , 5434 , 13 , 10898
721 , 5444 , 25 , 10942
722 , 5452 , 23 , 10954
723 , 5461 , 16 , 10958
724 , 5467 , 14 , 10966
725 , 5474 , 25 , 11002
726 , 5483 , 18 , 11006
727 , 5488 , 17 , 11014
728 , 5496 , 21 , 11038
729 , 5505 , 14 , 11042
730 , 5512 , 13 , 11054
731 , 5518 , 11 , 11062
732 , 5529 , 26 , 11114
733 , 5537 , 24 , 11126
734 , 5543 , 24 , 11138
735 , 5555 , 16 , 11146
736 , 5562 , 17 , 11162
737 , 5572 , 17 , 11182
738 , 5581 , 40 , 11246
739 , 5593 , 44 , 11278
740 , 5601 , 38 , 11282
741 , 5610 , 35 , 11294
742 , 5620 , 29 , 11302
743 , 5629 , 22 , 11306
744 , 5636 , 19 , 11314
745 , 5642 , 15 , 11318
746 , 5650 , 17 , 11338
747 , 5660 , 21 , 11366
748 , 5666 , 21 , 11378
749 , 5676 , 15 , 11386
750 , 5683 , 16 , 11402
751 , 5692 , 17 , 11422
752 , 5700 , 15 , 11434
753 , 5709 , 26 , 11474
754 , 5718 , 21 , 11482
755 , 5725 , 16 , 11486
756 , 5731 , 16 , 11498
757 , 5740 , 37 , 11558
758 , 5750 , 31 , 11566
759 , 5758 , 31 , 11582
760 , 5769 , 30 , 11602
761 , 5779 , 26 , 11614
762 , 5787 , 24 , 11626
763 , 5796 , 23 , 11642
764 , 5804 , 21 , 11654
765 , 5811 , 26 , 11678
766 , 5821 , 20 , 11686
767 , 5828 , 19 , 11698
768 , 5836 , 13 , 11702
769 , 5843 , 12 , 11714
770 , 5852 , 7 , 11722
771 , 5858 , 7 , 11734
772 , 5863 , 4 , 11738
773 , 5867 , 10 , 11758
774 , 5873 , 6 , 11762
775 , 5880 , 15 , 11794
776 , 5887 , 14 , 11806
777 , 5897 , 24 , 11846
778 , 5904 , 21 , 11854
779 , 5910 , 27 , 11878
780 , 5921 , 30 , 11906
781 , 5930 , 49 , 11962
782 , 5939 , 46 , 11974
783 , 5954 , 51 , 12014
784 , 5963 , 46 , 12022
785 , 5974 , 53 , 12058
786 , 5985 , 50 , 12074
787 , 6000 , 41 , 12086
788 , 6010 , 35 , 12094
789 , 6019 , 32 , 12106
790 , 6029 , 36 , 12134
791 , 6039 , 32 , 12146
792 , 6047 , 30 , 12158
793 , 6056 , 31 , 12178
794 , 6066 , 23 , 12182
795 , 6076 , 23 , 12202
796 , 6085 , 26 , 12226
797 , 6094 , 25 , 12242
798 , 6101 , 28 , 12262
799 , 6110 , 21 , 12266
800 , 6118 , 23 , 12286
801 , 6127 , 22 , 12302
802 , 6132 , 29 , 12326
803 , 6137 , 34 , 12346
804 , 6151 , 44 , 12394
805 , 6166 , 31 , 12398
806 , 6174 , 27 , 12406
807 , 6185 , 24 , 12422
808 , 6195 , 20 , 12434
809 , 6204 , 15 , 12442
810 , 6210 , 17 , 12458
811 , 6216 , 29 , 12494
812 , 6228 , 27 , 12514
813 , 6237 , 24 , 12526
814 , 6246 , 21 , 12538
815 , 6256 , 13 , 12542
816 , 6262 , 13 , 12554
817 , 6269 , 16 , 12574
818 , 6277 , 20 , 12598
819 , 6286 , 13 , 12602
820 , 6291 , 18 , 12622
821 , 6298 , 17 , 12634
822 , 6303 , 18 , 12646
823 , 6307 , 20 , 12658
824 , 6319 , 16 , 12674
825 , 6328 , 13 , 12686
826 , 6335 , 16 , 12706
827 , 6339 , 18 , 12718
828 , 6348 , 11 , 12722
829 , 6354 , 11 , 12734
830 , 6359 , 12 , 12746
831 , 6365 , 12 , 12758
832 , 6373 , 14 , 12778
833 , 6378 , 17 , 12794
834 , 6388 , 31 , 12842
835 , 6393 , 32 , 12854
836 , 6407 , 40 , 12898
837 , 6415 , 34 , 12902
838 , 6424 , 43 , 12938
839 , 6439 , 32 , 12946
840 , 6446 , 33 , 12962
841 , 6460 , 29 , 12982
842 , 6471 , 48 , 13042
843 , 6480 , 47 , 13058
844 , 6494 , 51 , 13094
845 , 6503 , 46 , 13102
846 , 6513 , 38 , 13106
847 , 6527 , 34 , 13126
848 , 6538 , 29 , 13138
849 , 6547 , 22 , 13142
850 , 6553 , 22 , 13154
851 , 6561 , 18 , 13162
852 , 6568 , 29 , 13198
853 , 6578 , 27 , 13214
854 , 6588 , 29 , 13238
855 , 6595 , 40 , 13274
856 , 6609 , 42 , 13306
857 , 6620 , 37 , 13318
858 , 6629 , 30 , 13322
859 , 6641 , 30 , 13346
860 , 6648 , 29 , 13358
861 , 6658 , 29 , 13378
862 , 6665 , 24 , 13382
863 , 6675 , 24 , 13402
864 , 6682 , 19 , 13406
865 , 6688 , 19 , 13418
866 , 6694 , 23 , 13438
867 , 6702 , 29 , 13466
868 , 6714 , 21 , 13474
869 , 6724 , 35 , 13522
870 , 6731 , 30 , 13526
871 , 6740 , 37 , 13558
872 , 6748 , 31 , 13562
873 , 6757 , 32 , 13582
874 , 6764 , 27 , 13586
875 , 6778 , 23 , 13606
876 , 6785 , 36 , 13646
877 , 6795 , 30 , 13654
878 , 6807 , 20 , 13658
879 , 6814 , 17 , 13666
880 , 6824 , 15 , 13682
881 , 6834 , 21 , 13714
882 , 6841 , 20 , 13726
883 , 6846 , 21 , 13738
884 , 6854 , 15 , 13742
885 , 6862 , 19 , 13766
886 , 6870 , 27 , 13798
887 , 6883 , 22 , 13814
888 , 6890 , 19 , 13822
889 , 6900 , 15 , 13834
890 , 6907 , 38 , 13894
891 , 6918 , 29 , 13898
